User Input,Chatbot Response,Timestamp
hey,"I'm fine, thank you",2025-05-04 23:23:32
hey,Hello,2025-05-04 23:28:23
how are you?,"I'm fine, thank you",2025-05-04 23:29:04
Hello,Hey,2025-05-05 00:07:33
How can I make a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2025-05-05 00:07:48
What's your name,You can call me Chatbot.,2025-05-05 00:08:00
Bye,Take care,2025-05-05 00:08:09
Hello,Hi there,2025-05-05 00:53:06
How can I make a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2025-05-05 00:53:35
Bye,Goodbye,2025-05-05 00:53:55
